Name,TotalMinutes,PER,TSPCT,3PAr,FTr,ORBPCT,DRBPCT,TRBPCT,ASTPCT,STLPCT,BLKPCT,TOVPCT,USGPCT,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Harrison Barnes,2171,12.0,0.62,0.525,0.251,3.0,8.5,5.7,0.053,0.01,0.5,0.067,0.157,2.9,1.2,4.2,0.092,-0.5,-1.4,-1.9,0.0
Scottie Barnes,2094,19.4,0.566,0.314,0.266,7.3,19.0,13.0,0.26,0.017,3.7,0.136,0.249,2.3,2.0,4.3,0.099,2.8,0.9,3.7,3.0
RJ Barrett,1675,15.9,0.576,0.296,0.322,3.0,15.7,9.2,0.16,0.008,1.1,0.106,0.258,1.4,1.2,2.7,0.076,0.5,-1.4,-0.9,0.5
RJ Barrett,766,14.3,0.536,0.335,0.32,2.7,13.4,8.1,0.128,0.008,1.1,0.096,0.275,0.4,0.8,1.2,0.073,-0.4,-1.6,-2.0,0.0
RJ Barrett,909,17.2,0.615,0.258,0.325,3.2,17.5,10.2,0.187,0.009000000000000001,1.1,0.11599999999999999,0.24300000000000002,1.0,0.5,1.5,0.079,1.2,-1.3,0.0,0.5
Charles Bassey,205,17.7,0.739,0.025,0.15,12.0,28.5,20.1,0.141,0.019,6.9,0.26,0.11900000000000001,0.3,0.3,0.7,0.153,-1.9,3.1,1.2,0.2
Emoni Bates,102,6.0,0.439,0.757,0.108,1.1,10.8,6.0,0.092,0.005,1.8,0.049,0.17600000000000002,-0.1,0.1,0.0,-0.007,-3.1,-1.9,-5.0,-0.1
Keita Bates-Diop,665,11.5,0.534,0.416,0.253,5.6,12.8,9.3,0.07400000000000001,0.018000000000000002,2.9,0.075,0.13,0.5,0.7,1.2,0.089,-1.5,0.4,-1.1,0.1
Keita Bates-Diop,597,11.3,0.525,0.427,0.24,6.0,12.7,9.6,0.073,0.018000000000000002,3.0,0.073,0.13,0.4,0.7,1.1,0.086,-1.5,0.2,-1.2,0.1
Keita Bates-Diop,68,13.3,0.617,0.313,0.375,1.6,13.4,7.3,0.081,0.022000000000000002,2.7,0.09699999999999999,0.131,0.1,0.1,0.2,0.111,-1.2,1.5,0.3,0.0
Nicolas Batum,1321,10.8,0.625,0.715,0.095,5.4,13.2,9.2,0.106,0.015,2.4,0.129,0.086,1.7,1.3,3.0,0.108,-0.9,0.8,-0.2,0.6
Nicolas Batum,54,9.8,0.5,0.875,0.0,0.0,14.3,7.4,0.11199999999999999,0.027999999999999997,6.7,0.111,0.073,0.0,0.1,0.1,0.089,-1.6,4.2,2.7,0.1
Nicolas Batum,1267,10.9,0.63,0.709,0.099,5.6,13.1,9.3,0.106,0.013999999999999999,2.2,0.129,0.087,1.7,1.2,2.9,0.109,-0.9,0.6,-0.3,0.6
Darius Bazley,10,-1.7,0.0,0.0,0.0,0.0,11.3,5.5,0.233,0.0,0.0,0.5,0.086,0.0,0.0,0.0,-0.147,-7.7,-0.7,-8.4,0.0
Bradley Beal,1524,15.3,0.589,0.32,0.191,3.4,10.5,7.1,0.228,0.013999999999999999,1.0,0.14400000000000002,0.228,1.6,1.2,2.8,0.088,0.0,-1.0,-1.0,0.4
Malik Beasley,2122,10.9,0.619,0.752,0.052,2.1,11.5,6.9,0.06,0.012,0.4,0.07,0.146,2.1,1.6,3.6,0.082,-0.5,-0.7,-1.2,0.4
MarJon Beauchamp,593,9.0,0.582,0.459,0.178,4.2,13.3,8.9,0.065,0.01,0.9,0.138,0.14300000000000002,0.2,0.5,0.6,0.049,-2.6,-1.0,-3.6,-0.2
Jules Bernard,111,12.2,0.514,0.5,0.16,6.6,8.9,7.7,0.167,0.008,0.7,0.07,0.218,0.0,0.0,0.1,0.022,-0.5,-2.4,-2.9,0.0
Dāvis Bertāns,539,11.8,0.583,0.865,0.162,1.4,9.0,5.1,0.076,0.017,1.6,0.053,0.171,0.5,0.3,0.8,0.073,-0.4,-0.5,-1.0,0.1
Dāvis Bertāns,91,17.3,0.675,0.923,0.577,2.6,9.4,6.1,0.121,0.016,3.0,0.03,0.16,0.3,0.1,0.4,0.228,3.2,0.7,3.9,0.1
Dāvis Bertāns,448,10.7,0.565,0.855,0.094,1.2,8.9,4.9,0.067,0.018000000000000002,1.3,0.057,0.17300000000000001,0.2,0.2,0.4,0.041,-1.1,-0.8,-1.9,0.0
Patrick Beverley,1334,11.1,0.529,0.48,0.247,3.5,13.8,8.6,0.188,0.013999999999999999,2.0,0.138,0.145,0.9,1.3,2.1,0.077,-1.9,0.3,-1.6,0.1
Patrick Beverley,919,11.7,0.547,0.452,0.261,3.5,14.2,8.7,0.21,0.013000000000000001,1.8,0.154,0.149,0.7,0.8,1.6,0.082,-1.5,0.0,-1.5,0.1
Patrick Beverley,415,9.7,0.487,0.542,0.215,3.5,12.8,8.3,0.14,0.017,2.5,0.1,0.135,0.1,0.4,0.6,0.067,-2.9,1.1,-1.7,0.0
Saddiq Bey,2062,13.1,0.549,0.514,0.291,8.5,13.3,10.8,0.059000000000000004,0.012,0.5,0.064,0.17,2.8,0.7,3.5,0.082,0.2,-2.0,-1.8,0.1
Goga Bitadze,933,18.0,0.636,0.064,0.404,13.4,21.5,17.4,0.11900000000000001,0.016,7.0,0.149,0.132,1.8,1.9,3.7,0.192,-0.5,2.9,2.3,1.0
Onuralp Bitim,228,7.1,0.502,0.529,0.059,2.9,12.0,7.3,0.078,0.006999999999999999,0.9,0.091,0.14800000000000002,-0.1,0.1,0.1,0.013,-4.0,-1.3,-5.3,-0.2
Bismack Biyombo,758,9.4,0.552,0.0,0.407,8.4,20.6,14.3,0.099,0.006999999999999999,4.3,0.225,0.106,0.0,0.9,0.9,0.058,-5.1,1.4,-3.7,-0.3
Bismack Biyombo,718,9.9,0.56,0.0,0.387,8.4,21.3,14.6,0.102,0.006999999999999999,4.4,0.214,0.106,0.1,0.9,1.0,0.065,-4.8,1.6,-3.3,-0.2
Bismack Biyombo,40,0.2,0.347,0.0,1.0,8.7,8.1,8.4,0.055999999999999994,0.012,2.3,0.41000000000000003,0.106,-0.1,0.0,-0.1,-0.07,-9.7,-0.9,-10.6,-0.1
Anthony Black,1134,8.4,0.552,0.376,0.331,3.4,10.9,7.1,0.107,0.015,1.7,0.161,0.127,0.1,1.5,1.7,0.07,-3.8,0.9,-2.9,-0.3
Leaky Black,218,10.0,0.554,0.385,0.359,4.0,16.1,9.8,0.109,0.011000000000000001,2.6,0.1,0.10099999999999999,0.2,0.1,0.3,0.064,-3.2,-0.3,-3.4,-0.1
Buddy Boeheim,49,13.6,0.563,0.85,0.25,2.2,16.2,9.1,0.086,0.0,1.7,0.0,0.193,0.1,0.0,0.1,0.108,2.8,-1.3,1.5,0.0
Bogdan Bogdanović,2178,15.0,0.571,0.58,0.146,2.4,10.5,6.3,0.149,0.019,0.9,0.083,0.223,2.8,1.1,3.9,0.086,1.2,-0.6,0.5,1.4
Bojan Bogdanović,1339,12.2,0.578,0.497,0.224,1.6,9.9,5.7,0.107,0.01,0.3,0.12300000000000001,0.244,0.1,0.7,0.8,0.029,-1.0,-2.4,-3.4,-0.5
Bojan Bogdanović,921,14.1,0.6,0.487,0.245,1.6,10.0,5.7,0.121,0.012,0.4,0.11800000000000001,0.24600000000000002,0.5,0.3,0.8,0.043,0.3,-2.4,-2.1,0.0
Bojan Bogdanović,418,8.1,0.526,0.519,0.176,1.6,9.9,5.7,0.07400000000000001,0.006,0.2,0.133,0.239,-0.4,0.3,0.0,-0.003,-3.9,-2.5,-6.3,-0.5
Bol Bol,411,18.9,0.7,0.336,0.127,8.7,23.9,16.8,0.057,0.006999999999999999,4.7,0.096,0.165,0.9,0.5,1.5,0.172,1.6,0.4,2.0,0.4
Marques Bolden,31,3.0,0.5,0.0,0.0,7.0,21.9,14.4,0.0,0.0,0.0,0.2,0.071,0.0,0.0,0.0,-0.006,-8.5,-2.4,-11.0,-0.1
Marques Bolden,3,3.1,0.0,0.0,0.0,0.0,71.1,36.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.103,-7.7,2.4,-5.4,0.0
Marques Bolden,28,3.0,0.5,0.0,0.0,7.7,16.7,12.0,0.0,0.0,0.0,0.2,0.079,0.0,0.0,0.0,-0.017,-8.6,-2.9,-11.6,-0.1
Devin Booker,2181,22.4,0.611,0.311,0.338,2.7,11.7,7.5,0.315,0.012,1.1,0.10099999999999999,0.302,6.7,1.7,8.3,0.183,4.3,-1.0,3.2,2.9
Brandon Boston Jr.,221,9.5,0.497,0.309,0.227,5.9,9.5,7.8,0.045,0.009000000000000001,2.9,0.09300000000000001,0.23399999999999999,-0.2,0.1,0.0,-0.008,-5.4,-3.2,-8.7,-0.4
Chris Boucher,705,16.0,0.625,0.433,0.424,9.5,23.2,16.2,0.045,0.01,3.0,0.098,0.17300000000000001,1.2,0.6,1.8,0.12,-0.4,-1.4,-1.7,0.0
James Bouknight,81,15.9,0.597,0.732,0.049,1.3,11.5,6.2,0.121,0.006,1.2,0.046,0.239,0.1,0.0,0.1,0.064,4.3,-2.2,2.1,0.1
Jamaree Bouyea,57,-4.8,0.238,0.381,0.0,3.8,16.8,9.9,0.193,0.0,0.0,0.276,0.217,-0.4,0.0,-0.4,-0.301,-13.0,-4.9,-17.9,-0.2
Malaki Branham,1431,8.7,0.52,0.414,0.105,2.0,8.3,5.1,0.149,0.008,0.4,0.122,0.198,-0.8,0.5,-0.3,-0.012,-3.5,-2.3,-5.8,-1.4
Christian Braun,1466,11.7,0.549,0.326,0.285,5.4,15.1,10.4,0.094,0.012,1.9,0.095,0.16,1.1,1.7,2.8,0.09,-2.1,-0.3,-2.3,-0.1
Mikal Bridges,2691,15.1,0.561,0.451,0.252,2.5,12.2,7.2,0.163,0.013999999999999999,0.9,0.102,0.247,1.9,2.0,3.9,0.07,0.8,-1.0,-0.3,1.2
