Name,Salary
Caris LeVert,15384616
Luguentz Dort,15277778
Luke Kennard,14763636
Kentavious Caldwell-Pope,14704938
Max Strus,14487684
Tyus Jones,14000000
Dorian Finney-Smith,13932008
Doug McDermott,13750000
Anthony Edwards,13534817
Wendell Carter Jr.,13050000
Gary Harris,13000000
Josh Hart,12960000
Naz Reid,12950400
Steven Adams,12600000
Brandon Clarke,12500000
Marvin Bagley III,12500000
Grant Williams,12405000
Dennis Schröder,12405000
Daniel Gafford,12402000
Kelly Olynyk,12195122
Victor Wembanyama,12160680
James Wiseman,12119440
Devonte' Graham,12100000
Richaun Holmes,12046020
Herbert Jones,12015150
Austin Reaves,12015150
Chris Boucher,11750000
Bobby Portis,11710818
Nicolas Batum,11710818
Robert Covington,11692308
Paolo Banchero,11608080
Robert Williams,11571429
Coby White,11111111
Cade Cunningham,11055360
Talen Horton-Tucker,11020000
P.J. Tucker,11014500
Reggie Bullock,13033786
Maxi Kleber,11000000
Joe Ingles,11000000
Ivica Zubac,10933333
LaMelo Ball,10900635
Donte DiVincenzo,10900000
Brandon Miller,10880400
Terance Mann,10576923
Gabe Vincent,10500000
Matisse Thybulle,10500000
Alec Burks,10489600
Chet Holmgren,10386000
Larry Nance Jr.,10375000
Landry Shamet,10250000
Al Horford,10000000
Malik Monk,9945830
Tre Jones,9895833
Jalen Green,9891480
Patrick Williams,9835881
Monte Morris,9800926
Scoot Henderson,9770880
Nic Claxton,9625000
Jeff Green,9600000
Royce O'Neale,9500000
Alex Caruso,9460000
Victor Oladipo,9450000
Pat Connaughton,9423869
Jabari Smith Jr.,9326520
Isaiah Hartenstein,9245121
Kyle Anderson,9219512
Grayson Allen,8925000
Isaac Okoro,8920795
Evan Mobley,8882640
Amen Thompson,8809320
Georges Niang,8800000
Gary Payton II,8715000
T.J. McConnell,8700000
Keegan Murray,8409000
Delon Wright,8195122
Onyeka Okongwu,8109063
Scottie Barnes,8008680
Jock Landale,8000000
Trey Lyles,8000000
De'Anthony Melton,8000000
Moritz Wagner,8000000
Thaddeus Young,8000000
Ausar Thompson,7977480
Miles Bridges,7921300
Vasilije Micić,7723000
Paul Reed,7723000
Zach Collins,7700000
Jaden Ivey,7614480
Cody Martin,7560000
Kevon Looney,7500000
Killian Hayes,7413955
Jalen Suggs,7252080
Anthony Black,7245480
Khem Birch,6985000
Daniel Theis,8670002
Bennedict Mathurin,6916080
Obi Toppin,6803012
Caleb Martin,6802950
John Wall,6802950
Danilo Gallinari,6802950
Patty Mills,6802950
Cedi Osman,6718842
Bilal Coulibaly,6614280
Josh Giddey,6587040
Cameron Payne,8519706
Jae'Sean Tate,6500000
Ayo Dosunmu,6481482
Rudy Gay,
Sasha Vezenkov,6341464
Shaedon Sharpe,6313800
Otto Porter Jr.,6300000
Deni Avdija,6263188
Nassir Little,6250000
Jevon Carter,6190476
Kenrich Williams,6175000
Jarace Walker,6059520
Jonathan Kuminga,6012840
Devin Vassell,5887899
Tyrese Haliburton,5808435
Dyson Daniels,5784120
Kira Lewis Jr.,5722116
Dean Wade,5709877
Aaron Nesmith,5634257
Taylor Hendricks,5569920
Cole Anthony,5539771
Franz Wagner,5508720
Furkan Korkmaz,5370370
Jeremy Sochan,5316960
Cason Wallace,5291400
Isaiah Stewart,5266713
Chuma Okeke,5266713
Davion Mitchell,5063640
Johnny Davis,5050800
Jalen Smith,5043773
Jett Howard,5026800
Aleksej Pokusevski,5009633
Nick Richards,5000000
Bismack Biyombo,5754488
Mason Plumlee,5000000
Shake Milton,5000000
Reggie Jackson,5000000
Ziaire Williams,4810200
Ousmane Dieng,4798440
Dereck Lively II,4775640
Josh Green,4765339
Jarred Vanderbilt,4698000
Nickeil Alexander-Walker,4687500
James Bouknight,4570080
Jalen Williams,4558680
Saddiq Bey,4556983
Gradey Dick,4536720
Jalen McDaniels,4516000
Taurean Prince,4516000
Precious Achiuwa,4379527
Tyrese Maxey,4343920
Joshua Primo,6105941
Jalen Duren,4330680
Danuel House Jr.,4310250
Jordan Hawkins,4310160
Zeke Nnaji,4306281
Immanuel Quickley,4171548
Chris Duarte,4124400
Ochai Agbaji,4114200
Kobe Bufkin,4094280
Payton Pritchard,4037277
Dwight Powell,4000000
Seth Curry,4000000
Troy Brown Jr.,4000000
Moses Moody,3918480
Mark Williams,3908160
Jaden McDaniels,3901399
Keyonte George,3889800
Malachi Flynn,3873025
Desmond Bane,3845083
Russell Westbrook,3835738
Kevin Love,3835738
Corey Kispert,3722040
AJ Griffin,3712920
Ricky Rubio,3695311
Jalen Hood-Schifino,3695040
Amir Coffey,3666667
Alperen Sengun,3536280
Tari Eason,3527160
Jaime Jaquez Jr.,3510600
Mike Muscala,3500000
Andre Drummond,3360000
Derrick Jones Jr.,5379706
Trey Murphy III,3359280
Brandin Podziemski,3352440
Dalen Terry,3350760
Cam Whitmore,3218160
Jake LaRavia,3199920
Derrick Rose,3196448
Eric Gordon,3196448
Tre Mann,3191400
Noah Clowney,3089520
Malaki Branham,3071880
Kai Jones,3047880
Simone Fontecchio,3044872
Jordan Nwora,3000000
Julian Champagnie,3000000
Dante Exum,3000000
Dariq Whitehead,2966040
Christian Braun,2949120
Jalen Johnson,2925360
Josh Richardson,2891467
Kris Murray,2847480
Andrew Nicholson,2844430
Walker Kessler,2831160
Josh Okogie,2815937
Keon Johnson,2808720
Omer Yurtseven,2800000
Dewayne Dedmon,2748674
Olivier-Maxence Prosper,2733720
David Roddy,2718240
Christian Wood,2709849
Isaiah Jackson,2696280
Marcus Sasser,2624040
MarJon Beauchamp,2609400
Charles Bassey,2600000
Usman Garuba,2588400
Damian Jones,2586665
Kris Dunn,2586665
Bruno Fernando,2581522
Ben Sheppard,2537160
Thomas Bryant,2528233
Torrey Craig,2528233
Damion Lee,2528233
Blake Wesley,2504640
Josh Christopher,2485200
Nick Smith Jr.,2463960
Brice Sensabaugh,2448600
Ty Jerome,2439025
Julian Strawther,2431080
Wendell Moore Jr.,2421720
Kobe Brown,2413320
Luke Kornet,2413304
John Konchar,2400000
Quentin Grimes,2385720
Nikola Jović,2352000
JaVale McGee,4368030
Drew Eubanks,2346614
Keita Bates-Diop,2346614
Yuta Watanabe,2346614
Patrick Baldwin Jr.,2337720
TyTy Washington Jr.,2320440
Jordan McLaughlin,2320000
Bones Hyland,2306400
Peyton Watson,2303520
James Johnson,777703
Cam Thomas,2240160
Vlatko Čančar,2234359
Vince Williams Jr.,2232308
Jaden Springer,2226240
Day'Ron Sharpe,2210040
Santi Aldama,2194200
Jaxson Hayes,2165000
Cam Reddish,2165000
Oshae Brissett,2165000
Andrew Nembhard,2131905
Goga Bitadze,2066585
Luka Šamanić,2066585
Colby Jones,2019706
Taj Gibson,2497336
Garrett Temple,2019706
Sandro Mamukelashvili,2019706
Robin Lopez,2019706
JaVale McGee,4368030
Alex Len,2019706
Dalano Banton,2019706
Bol Bol,2019706
Montrezl Harrell,2019706
Cameron Payne,8519706
Kelly Oubre Jr.,2019706
Mo Bamba,2019706
Dylan Windler,2019706
Cody Zeller,2019706
Thanasis Antetokounmpo,2019706
Patrick Beverley,2019706
Jae Crowder,2019706
Malik Beasley,2019706
Chimezie Metu,2019706
Lamar Stevens,2419706
Cory Joseph,2019706
Reggie Bullock,13033786
Dario Šarić,2019706
Ryan Arcidiacono,2019706
DeAndre Jordan,2019706
Justin Holiday,2019706
Markieff Morris,2019706
Derrick Jones Jr.,5379706
Ish Smith,2019706
Frank Ntilikina,2019706
Harry Giles,2019706
Lonnie Walker IV,2019706
Dennis Smith Jr.,2019706
Wesley Matthews,2019706
Moses Brown,2019706
Boban Marjanović,2019706
Aaron Holiday,2019706
Tristan Thompson,2019706
Terry Taylor,2019706
Trendon Watford,2019706
Svi Mykhailiuk,2019706
Caleb Houstan,2000000
Jaylin Williams,2000000
Garrison Mathews,2000000
Sam Merrill,1997238
Anthony Gill,1997238
Isaiah Joe,1997238
GG Jackson II,1991428
KJ Martin,1930681
Naji Marshall,1930681
Xavier Tillman Sr.,1930681
Sam Hauser,1927896
Jordan Goodwin,1927896
Kessler Edwards,1927896
Ish Wainright,1927896
Jericho Sims,1927896
Haywood Highsmith,1902137
A.J. Green,1901769
Jeremiah Robinson-Earl,
Kevin Knox,1845593
Miles McBride,1836096
Isaiah Livers,1836096
Isaiah Todd,1836096
Brandon Boston Jr.,1836096
Aaron Wiggins,1836096
Jose Alvarado,1836096
JT Thor,1836096
E.J. Liddell,1801769
Dru Smith,1801769
Orlando Robinson,1801769
Leonard Miller,1800000
Skylar Mays,1799163
Joshua Primo,6105941
Daniel Theis,8670002
Kennedy Chandler,1719864
Ryan Rollins,1719864
Jaden Hardy,1719864
Xavier Cooks,1719864
Christian Koloko,1719864
Jabari Walker,1719864
Josh Minott,1719864
Kenneth Lofton Jr.,
Max Christie,1719864
Bryce McGowens,1719864
Jalen Pickett,1708143
Julian Phillips,1600000
Spencer Dinwiddie,21911797
Eric Bledsoe,1300000
Sidy Cissoko,1119563
Hunter Tyson,1119563
Jordan Walsh,1119563
Rayan Rupert,1119563
Chris Livingston,1119563
Maxwell Lewis,1119563
Trayce Jackson-Davis,1119563
Mouhamed Gueye,1119563
Toumani Camara,1119563
Andre Jackson Jr.,1119563
Gui Santos,1029483
DaQuan Jeffries,831385
James Johnson,777703
Lindy Waters III,766095
Bismack Biyombo,5754488
Nik Stauskas,702311
Keon Ellis,683430
Jack White,600000
Juwan Morgan,576230
Filip Petrušev,559782
Malik Fitts,555217
Taj Gibson,2497336
Lamar Stevens,2419706
Juan Toscano-Anderson,439581
Nerlens Noel,300000
Didi Louzada,268032
Neemias Queta,250000
Danny Green,200000
James Johnson,777703
James Johnson,777703
Taj Gibson,2497336
Taj Gibson,2497336
Zhaire Smith,139290
Juan Toscano-Anderson,439581
Hamidou Diallo,116075
Malcolm Hill,
Jordan Goodwin,1927896
Ashton Hagans,103550
Demetrius Jackson,92857
Tosan Evbuomwan,135120
Trey Jemison,
Mouhamadou Gueye,
Taze Moore,64343
Tosan Evbuomwan,135120
Trey Jemison,
Matthew Hurt,
Pete Nance,64343
