Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Terry Taylor,PF,24,CHI,5,0,2.4,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4
Garrett Temple,SG,37,TOR,5,0,3.2,0.8,1.0,0.8,0.2,0.2,1.0,0.6,0.8,0.75,0.9,0.4,0.4,1.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.0,2.2
Dalen Terry,SG,21,CHI,5,0,3.8,0.6,1.6,0.375,0.2,0.8,0.25,0.4,0.8,0.5,0.438,0.0,0.4,0.0,0.2,1.6,1.8,0.8,0.0,0.2,0.2,0.4,1.4
Daniel Theis,C,31,TOT,7,0,15.6,2.7,5.9,0.463,0.3,0.9,0.333,2.4,5.0,0.486,0.488,0.4,0.9,0.5,1.6,2.6,4.1,1.3,0.3,0.9,0.7,2.3,6.1
Daniel Theis,C,31,IND,1,0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Daniel Theis,C,31,LAC,6,0,16.8,3.0,6.2,0.486,0.3,0.8,0.4,2.7,5.3,0.5,0.514,0.5,1.0,0.5,1.8,3.0,4.8,1.5,0.3,1.0,0.8,2.5,6.8
Cam Thomas,SG,22,BRK,8,7,32.4,9.9,20.6,0.479,2.1,6.6,0.321,7.8,14.0,0.554,0.53,5.0,5.9,0.851,0.3,3.5,3.8,2.1,0.9,0.6,1.3,1.9,26.9
Amen Thompson,SF,21,HOU,4,0,16.8,2.3,5.5,0.409,0.5,2.8,0.182,1.8,2.8,0.636,0.455,1.3,2.0,0.625,0.3,2.5,2.8,1.5,0.5,0.3,1.5,2.3,6.3
Ausar Thompson,SF,21,DET,17,17,30.3,4.7,10.2,0.46,0.2,1.8,0.129,4.5,8.4,0.531,0.471,1.8,2.5,0.698,3.4,6.1,9.5,3.1,1.1,1.7,2.2,3.6,11.4
Klay Thompson,SF,33,GSW,17,17,29.4,5.3,13.1,0.404,2.8,7.6,0.364,2.5,5.5,0.457,0.509,1.9,2.2,0.868,0.5,3.1,3.6,2.3,0.4,0.6,2.0,2.3,15.3
Tristan Thompson,PF,32,CLE,14,0,9.3,1.1,1.5,0.714,0.0,0.0,0.0,1.1,1.5,0.714,0.714,0.4,0.9,0.385,1.1,1.4,2.5,0.8,0.1,0.4,0.5,0.9,2.5
JT Thor,PF,21,CHO,16,1,16.5,1.6,3.7,0.424,0.8,1.9,0.387,0.8,1.8,0.464,0.525,0.0,0.3,0.0,0.8,2.1,2.9,0.6,0.3,0.3,0.3,1.3,3.9
Matisse Thybulle,SF,26,POR,17,9,22.0,2.1,4.5,0.474,1.4,3.6,0.377,0.8,0.9,0.867,0.625,0.4,0.5,0.75,0.3,1.2,1.5,1.2,1.5,0.8,0.8,1.2,5.9
Xavier Tillman Sr.,C,25,MEM,7,5,25.9,3.9,9.1,0.422,1.0,2.9,0.35,2.9,6.3,0.455,0.477,0.6,1.3,0.444,2.0,4.7,6.7,2.4,1.6,0.9,1.4,2.9,9.3
Obi Toppin,PF,25,IND,16,15,23.8,4.8,8.2,0.588,0.9,3.1,0.306,3.9,5.1,0.756,0.645,1.3,1.4,0.87,0.9,2.3,3.2,1.2,0.8,0.3,0.8,1.6,11.8
Karl-Anthony Towns,PF,28,MIN,17,17,33.4,7.6,15.4,0.498,1.9,4.9,0.398,5.7,10.5,0.545,0.561,4.0,4.4,0.919,0.8,8.2,9.0,2.9,0.9,0.8,2.9,3.5,21.2
Gary Trent Jr.,SG,25,TOR,15,2,26.1,4.1,10.3,0.403,1.9,5.3,0.363,2.2,4.9,0.446,0.497,1.1,1.9,0.586,0.3,1.6,1.9,1.1,0.9,0.1,0.7,1.1,11.3
P.J. Tucker,PF,38,TOT,15,3,15.9,0.4,1.3,0.316,0.3,1.1,0.313,0.1,0.2,0.333,0.447,0.2,0.2,1.0,1.1,1.8,2.9,0.5,0.6,0.2,0.3,2.3,1.3
P.J. Tucker,PF,38,PHI,3,3,22.0,0.7,1.7,0.4,0.7,1.7,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0
P.J. Tucker,PF,38,LAC,12,0,14.4,0.3,1.2,0.286,0.3,0.9,0.273,0.1,0.3,0.333,0.393,0.3,0.3,1.0,1.3,1.2,2.4,0.7,0.5,0.1,0.2,2.2,1.2
Myles Turner,C,27,IND,16,16,26.4,6.0,11.7,0.513,1.5,4.2,0.358,4.5,7.5,0.6,0.578,3.3,4.2,0.791,1.7,5.9,7.6,1.4,0.7,2.2,1.6,3.5,16.8
Hunter Tyson,PF,23,DEN,6,0,2.5,0.2,0.7,0.25,0.0,0.5,0.0,0.2,0.2,1.0,0.25,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.0,0.0,0.0,0.7,0.3
Stanley Umude,SG,24,DET,13,0,10.2,1.4,2.7,0.514,0.9,1.7,0.545,0.5,1.0,0.462,0.686,1.5,1.6,0.905,0.2,1.5,1.8,0.5,0.2,0.4,0.5,1.5,5.2
Jonas Valančiūnas,C,31,NOP,18,18,25.7,5.1,9.6,0.535,0.7,1.9,0.382,4.4,7.7,0.572,0.573,2.2,2.7,0.796,2.3,6.6,8.9,2.5,0.4,1.4,1.2,3.0,13.1
Fred VanVleet,PG,29,HOU,15,15,37.6,5.5,14.1,0.387,3.0,8.2,0.366,2.5,5.9,0.416,0.493,2.2,2.5,0.892,0.3,3.9,4.1,9.2,0.7,0.5,1.5,1.9,16.1
Devin Vassell,SG,23,SAS,12,8,28.3,6.6,13.3,0.494,2.7,6.3,0.421,3.9,7.0,0.56,0.594,2.3,3.0,0.75,0.5,2.9,3.4,2.8,1.0,0.1,1.3,1.1,18.1
Sasha Vezenkov,PF,28,SAC,13,0,13.8,2.2,5.4,0.414,1.2,3.6,0.34,1.0,1.8,0.565,0.529,0.2,0.2,1.0,0.2,1.8,2.1,0.3,0.5,0.4,0.3,1.2,5.9
Gabe Vincent,PG,27,LAL,4,0,28.3,2.8,7.0,0.393,0.3,3.5,0.071,2.5,3.5,0.714,0.411,0.3,0.5,0.5,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
Nikola Vučević,C,33,CHI,19,19,34.1,6.6,14.5,0.457,0.8,3.4,0.246,5.8,11.1,0.521,0.486,1.3,1.6,0.833,2.5,7.6,10.1,3.1,0.9,0.6,1.7,3.1,15.4
